DANH SÁCH TÍNH NĂNG ĐẦY ĐỦ,,,,,,
P0 = bắt buộc MVP | P1 = quan trọng | P2 = mở rộng. Cột Trạng thái & Ghi chú để bạn theo dõi.,,,,,,
,,,,,,
Vai trò,Nhóm,Tính năng,Ưu tiên,Trạng thái,Ghi chú,Đề xuất (bản như S.Sens)
Khách thuê,Tìm kiếm & khám phá,Tìm theo vị trí (ô nhập địa điểm + gợi ý tự động),P0,Chưa làm,,RÚT GỌN — Chỉ cần lọc theo thành phố dạng tab như S.Sens; bỏ ô tìm autocomplete.
Khách thuê,Tìm kiếm & khám phá,"Tìm theo bản đồ (map view, ghim vị trí, giá trên ghim)",P1,Chưa làm,,BỎ — S.Sens không có map search; danh mục ít căn không cần.
Khách thuê,Tìm kiếm & khám phá,"Chọn ngày nhận/trả phòng, số khách, số phòng",P0,Chưa làm,,GIỮ — Chỉ là các trường trong form gửi yêu cầu — KHÔNG lọc theo lịch trống thật.
Khách thuê,Tìm kiếm & khám phá,"Bộ lọc: khoảng giá, loại phòng, tiện nghi, số phòng ngủ, đánh giá, đặt ngay",P0/P1,Chưa làm,,RÚT GỌN — Bỏ bộ lọc phức tạp; chỉ lọc theo thành phố.
Khách thuê,Tìm kiếm & khám phá,"Sắp xếp: theo giá (tăng/giảm), đánh giá, khoảng cách, mới nhất",P0,Chưa làm,,BỎ — Không cần sắp xếp khi danh mục nhỏ.
Khách thuê,Tìm kiếm & khám phá,Gợi ý theo khu vực nổi bật / căn được đặt nhiều,P2,Chưa làm,,BỎ — Cần thuật toán/dữ liệu lớn — không cần cho showcase.
Khách thuê,Trang chi tiết phòng,"Thư viện ảnh + video, xem toàn màn hình",P0,Chưa làm,,GIỮ — Gallery ảnh là điểm mạnh của S.Sens (video tùy chọn).
Khách thuê,Trang chi tiết phòng,"Mô tả, tiện nghi, nội quy nhà, chính sách hủy",P0,Chưa làm,,GIỮ — Thông tin cơ bản của mỗi căn.
Khách thuê,Trang chi tiết phòng,Lịch trống theo thời gian thực (real-time availability),P0,Chưa làm,,GIỮ — Lịch trống real-time (theo yêu cầu). Cần backend + DB + khóa chống trùng.
Khách thuê,Trang chi tiết phòng,Bản đồ vị trí + tiện ích xung quanh,P1,Chưa làm,,RÚT GỌN — Chỉ cần map tĩnh/nhúng như trang Contact của S.Sens.
Khách thuê,Trang chi tiết phòng,Đánh giá & điểm số của khách trước,P1,Chưa làm,,BỎ — Không có hệ thống review; dùng testimonial tĩnh như S.Sens.
Khách thuê,Đặt phòng & thanh toán,Tính giá minh bạch: giá/đêm × số đêm + phí dọn + phí dịch vụ + thuế − giảm giá,P0,Chưa làm,,GIỮ — Tính giá minh bạch (theo yêu cầu): giá/đêm + phí + thuế − giảm.
Khách thuê,Đặt phòng & thanh toán,Giảm giá theo số đêm/tháng (long-stay discount),P1,Chưa làm,,GIỮ — Long-stay discount (theo yêu cầu).
Khách thuê,Đặt phòng & thanh toán,Đặt ngay (Instant Book) vs Gửi yêu cầu (Request to Book),P0/P1,Chưa làm,,GIỮ — Instant Book / Request to Book (theo yêu cầu).
Khách thuê,Đặt phòng & thanh toán,"Thanh toán online: VNPay, MoMo, ZaloPay, thẻ quốc tế, QR/chuyển khoản",P0,Chưa làm,,GIỮ — Thanh toán online (theo yêu cầu): VNPay/MoMo/ZaloPay/Stripe.
Khách thuê,Đặt phòng & thanh toán,Đặt cọc một phần / thanh toán toàn bộ,P1,Chưa làm,,GIỮ — Đặt cọc / thanh toán toàn bộ (theo yêu cầu).
Khách thuê,Đặt phòng & thanh toán,Mã giảm giá / voucher,P2,Chưa làm,,GIỮ — Mã giảm giá / voucher (theo yêu cầu).
Khách thuê,Quản lý cá nhân,"Đăng ký/đăng nhập: email, OTP điện thoại, Google",P0,Chưa làm,,GIỮ — Đăng ký/đăng nhập email/OTP/Google (theo yêu cầu). Cần Auth + SMS-OTP.
Khách thuê,Quản lý cá nhân,"Quản lý booking: xem, sửa, hủy; lịch sử; hóa đơn/biên nhận",P0,Chưa làm,,"GIỮ — Quản lý booking: xem/sửa/hủy, lịch sử, hóa đơn (theo yêu cầu)."
Khách thuê,Quản lý cá nhân,Danh sách yêu thích (wishlist),P1,Chưa làm,,GIỮ — Wishlist (theo yêu cầu).
Khách thuê,Quản lý cá nhân,"Hồ sơ cá nhân, đổi mật khẩu, xác minh danh tính",P1,Chưa làm,,BỎ — Không cần tài khoản khách.
Khách thuê,Tương tác & tiện ích,Nhắn tin/chat với chủ nhà,P1,Chưa làm,,BỎ — Thay bằng nút WhatsApp/Zalo/gọi trực tiếp như S.Sens.
Khách thuê,Tương tác & tiện ích,Đánh giá 2 chiều sau khi ở (khách ↔ chủ nhà),P1,Chưa làm,,BỎ — Không có hệ thống đánh giá.
Khách thuê,Tương tác & tiện ích,"Thông báo: email, SMS, đẩy (push)",P1,Chưa làm,,RÚT GỌN — Chỉ cần email tự động xác nhận khi khách gửi form.
Khách thuê,Tương tác & tiện ích,"Đa ngôn ngữ (VN/EN), đa tiền tệ",P2,Chưa làm,,ĐỂ SAU — Không bắt buộc; S.Sens chỉ dùng tiếng Anh. Thêm VN/EN sau nếu cần.
Chủ nhà,Onboarding,"Đăng ký làm chủ nhà, xác minh (KYC: CCCD, SĐT, tài khoản ngân hàng)",P1 (GĐ2),Chưa làm,,BỎ — Marketplace (GĐ2) — bạn tự quản căn của mình.
